,YEAR SELECTOR,WKLY HRS,,DATE,IN,LUNCH IN,LUNCH OUT,OUT,,time,hours,EARN,skip lunch,PAYCHCK,Assumed tax,DATE RECIEVED,,bfr tax est total:,"$3,844.83",paychck tot:,"$2,706.34",Difference:,"$1,138.49",30%
Variables,,,,,,,,,,0:00,0.00,$0.00,FALSE,,,,,,,,,,,
Payrate,$17.80,,,,,,,,,0:00,0.00,$0.00,FALSE,,,,,,,,,,,
Copy Center Pay,$18.50,,,,,,,,,0:00,0.00,$0.00,FALSE,,,,,,,,,,,
Overpay,$25.35,,,,,,,,,0:00,0.00,$0.00,FALSE,,,,,,,,,,,
inti,$0.00,,,,,,,,,0:00,0.00,$0.00,FALSE,,,,,,,,,,,
,,,,,,,,,,0:00,0.00,$0.00,FALSE,,,,,,,,,,,
Notes,,,,,,,,,,0:00,0.00,$0.00,FALSE,,,,,,,,,,,
Pay period is Sunday to Saturday,,,,,,,,,,0:00,0.00,$0.00,FALSE,,,,,,,,,,,
Overpay starts after 8 hours,,,,,,,,,,0:00,0.00,$0.00,FALSE,,,,,,,,,,,
Hlday: shift*pay/2 + shift + 4 * overTimePay,,,,,,,,,,0:00,0.00,$0.00,FALSE,,,,,,,,,,,
,,,,,,,,,,0:00,0.00,$0.00,FALSE,,,,,,,,,,,
,,,,,,,,,,0:00,0.00,$0.00,FALSE,,,,,,,,,,,
,,,,Mon Jul 21,8:00 AM,12:00 PM,12:30 PM,4:00 PM,,7:30,7.50,$138.75,FALSE,,,,,,,,,,,
,,32.00,,Sat Jul 19,2:03 PM,,,7:39 PM,,5:36,5.60,$103.60,FALSE,,100.00%, Jul 24,,,,,,,,
,,,,Fri Jul 18,3:57 PM,,,8:19 PM,,4:22,4.37,$80.78,FALSE,,,,,,,,,,,
,,,,Fri Jul 18,9:00 AM,,,12:21 PM,,3:21,3.35,$61.98,FALSE,,,,,,,,,,,
,,,,Thu Jul 17,9:52 AM,,,4:27 PM,,6:35,6.58,$121.79,TRUE,,,,,PAY RAISE TO COPY CENTER,,,,,,
,,,,Tue Jul 15,9:56 AM,,,4:03 PM,,6:07,6.12,$108.88,TRUE,,,,,,,,,,,
,,,,Mon Jul 14,9:57 AM,,,3:56 PM,,5:59,5.98,$106.50,TRUE,,,,,,,,,,,
,,30.55,,Sat Jul 12,1:53 PM,,,7:26 PM,,5:33,5.55,$98.79,FALSE,$475.69,12.52%, Jul 17,,,,,,,,
,,,,Thu Jul 10,9:36 AM,2:30 PM,3:01 PM,4:31 PM,,6:24,6.40,$113.92,FALSE,,,,,,,,,,,
,,,,Wed Jul 9,8:20 AM,12:58 PM,1:29 PM,4:04 PM,,7:13,7.22,$128.46,FALSE,,,,,,,,,,,
,,,,Tue Jul 8,3:03 PM,,,8:07 PM,,5:04,5.07,$90.19,FALSE,,,,,,,,,,,
,,,,Mon Jul 7,9:52 AM,,,4:11 PM,,6:19,6.32,$112.44,FALSE,,,,,,,,,,,
,,45.20,,Sat Jul 5,2:07 PM,,,7:13 PM,,5:06,5.10,$90.78,FALSE,$606.12,17.52%, Jul 10,,,,,,,,
,,,,Fri Jul 4,12:00 PM,,,4:00 PM,,4:00,4.00,$71.20,FALSE,,,,,holiday pay!,,,,,,
,,,,Fri Jul 4,10:02 AM,1:29 PM,2:00 PM,6:23 PM,,7:50,7.83,$69.72,FALSE,,,,,holiday pay!,,,,,,
,,,,Fri Jul 4,10:02 AM,1:29 PM,2:00 PM,6:23 PM,,7:50,7.83,$139.43,FALSE,,,,,,,,,,,
,,,,Thu Jul 3,9:58 AM,1:21 PM,1:53 PM,6:22 PM,,7:52,7.87,$140.03,FALSE,,,,,,,,,,,
,,,,Tue Jul 1,9:56 AM,,,4:31 PM,,6:35,6.58,$117.18,TRUE,,,,,,,,,,,
,,,,Mon Jun 30,9:57 AM,,,3:56 PM,,5:59,5.98,$106.50,TRUE,,,,,,,,,,,
,,36.53,,Sat Jun 28,10:00 AM,,,2:00 PM,,4:00,4.00,$71.20,FALSE,$543.27,16.46%, Jul 2,,didn't actually work this day. Simon put it in,,,,,,
,,,,Fri Jun 27,10:11 AM,12:00 PM,12:30 PM,2:42 PM,,4:01,4.02,$71.50,FALSE,,,,,,,,,,,
,,,,Thu Jun 26,8:01 AM,11:32 AM,12:03 PM,4:05 PM,,7:33,7.55,$134.39,FALSE,,,,,,,,,,,
,,,,Wed Jun 25,8:29 AM,12:03 PM,12:34 PM,4:07 PM,,7:07,7.12,$126.68,FALSE,,,,,,,,,,,
,,,,Tue Jun 24,9:52 AM,,,4:02 PM,,6:10,6.17,$109.77,TRUE,,,,,,,,,,,
,,,,Mon Jun 23,9:53 AM,1:30 PM,2:01 PM,4:05 PM,,7:41,7.68,$136.76,FALSE,,,,,Really came in at 9:53 but fixing timesheet error from 6/9 & 6/12,,,,,,
,,16.38,,Thu Jun 19,1:55 PM,4:00 PM,4:30 PM,8:25 PM,,6:00,6.00,$106.80,FALSE,$265.44,8.98%, Jun 26,,,,,,,,
,,,,Wed Jun 18,3:50 PM,,,8:08 PM,,4:18,4.30,$76.54,FALSE,,,,,,,,,,,
